"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
150008003,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","総務大臣"
150008004,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","法務大臣"
150008005,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","外務大臣"
150008007,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","文部科学大臣"
150008011,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","国土交通大臣"
150008012,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","環境大臣"
150008013,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","防衛大臣（防衛庁長官）"
150008014,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","国家公安委員会委員長"
150008015,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","防災担当大臣"
150008016,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","行政改革担当大臣（行政刷新担当大臣）"
150008017,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","沖縄及び北方対策担当大臣"
150008019,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","経済財政政策担当大臣"
150008020,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","科学技術政策担当大臣"
150008021,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","規制改革担当大臣"
150008022,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","男女共同参画担当大臣"
150008024,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
150008029,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
150008039,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
150008040,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
150008043,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","海洋政策担当大臣"
150008044,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","拉致問題担当大臣"
150008045,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","再チャレンジ担当大臣"
150008048,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
150008061,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","原子力防災担当大臣"
150008062,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
150008066,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","東京オリンピック・パラリンピック担当大臣"
150008071,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","国土強靱化担当大臣"
150008072,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","クールジャパン戦略担当大臣"
150008076,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","知的財産戦略担当大臣"
150008079,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","マイナンバー制度担当大臣"
150008082,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","こども政策担当大臣"
150008083,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","孤独・孤立対策担当大臣"
150008086,"小宮山 洋子（こみやま ようこ）","厚生労働大臣","経済安全保障担当大臣"
150028003,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","総務大臣"
150028004,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","法務大臣"
150028005,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","外務大臣"
150028007,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","文部科学大臣"
150028011,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","国土交通大臣"
150028012,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","環境大臣"
150028013,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","防衛大臣（防衛庁長官）"
150028014,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","国家公安委員会委員長"
150028015,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","防災担当大臣"
150028016,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","行政改革担当大臣（行政刷新担当大臣）"
150028017,"小宮山 洋子（こみやま ようこ）","少子化対策担当大臣","沖縄及び北方対策担当大臣"
