"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
256016003,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","総務大臣"
256016004,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","法務大臣"
256016005,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","外務大臣"
256016007,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","文部科学大臣"
256016008,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","厚生労働大臣"
256016011,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","国土交通大臣"
256016012,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","環境大臣"
256016013,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","防衛大臣（防衛庁長官）"
256016014,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","国家公安委員会委員長"
256016015,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","防災担当大臣"
256016017,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","沖縄及び北方対策担当大臣"
256016019,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","経済財政政策担当大臣"
256016020,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","科学技術政策担当大臣"
256016022,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","男女共同参画担当大臣"
256016024,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","消費者及び食品安全担当大臣（食品安全担当大臣）"
256016028,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","少子化対策担当大臣"
256016039,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","国家公務員制度担当大臣（公務員制度改革担当大臣）"
256016040,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
256016043,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","海洋政策担当大臣"
256016044,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","拉致問題担当大臣"
256016045,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","再チャレンジ担当大臣"
256016048,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","宇宙政策担当大臣（宇宙開発担当大臣）"
256016061,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","原子力防災担当大臣"
256016062,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
256016066,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","東京オリンピック・パラリンピック担当大臣"
256016071,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","国土強靱化担当大臣"
256016072,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","クールジャパン戦略担当大臣"
256016076,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","知的財産戦略担当大臣"
256016079,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","マイナンバー制度担当大臣"
256016082,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","こども政策担当大臣"
256016083,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","孤独・孤立対策担当大臣"
256016086,"牧島 かれん","行政改革担当大臣（行政刷新担当大臣）","経済安全保障担当大臣"
256021003,"牧島 かれん","規制改革担当大臣","総務大臣"
256021004,"牧島 かれん","規制改革担当大臣","法務大臣"
256021005,"牧島 かれん","規制改革担当大臣","外務大臣"
256021007,"牧島 かれん","規制改革担当大臣","文部科学大臣"
256021008,"牧島 かれん","規制改革担当大臣","厚生労働大臣"
256021011,"牧島 かれん","規制改革担当大臣","国土交通大臣"
256021012,"牧島 かれん","規制改革担当大臣","環境大臣"
256021013,"牧島 かれん","規制改革担当大臣","防衛大臣（防衛庁長官）"
256021014,"牧島 かれん","規制改革担当大臣","国家公安委員会委員長"
256021015,"牧島 かれん","規制改革担当大臣","防災担当大臣"
256021017,"牧島 かれん","規制改革担当大臣","沖縄及び北方対策担当大臣"
256021019,"牧島 かれん","規制改革担当大臣","経済財政政策担当大臣"
256021020,"牧島 かれん","規制改革担当大臣","科学技術政策担当大臣"
256021022,"牧島 かれん","規制改革担当大臣","男女共同参画担当大臣"
256021024,"牧島 かれん","規制改革担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
256021028,"牧島 かれん","規制改革担当大臣","少子化対策担当大臣"
256021039,"牧島 かれん","規制改革担当大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
256021040,"牧島 かれん","規制改革担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
256021043,"牧島 かれん","規制改革担当大臣","海洋政策担当大臣"
256021044,"牧島 かれん","規制改革担当大臣","拉致問題担当大臣"
256021045,"牧島 かれん","規制改革担当大臣","再チャレンジ担当大臣"
256021048,"牧島 かれん","規制改革担当大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
256021061,"牧島 かれん","規制改革担当大臣","原子力防災担当大臣"
256021062,"牧島 かれん","規制改革担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
256021066,"牧島 かれん","規制改革担当大臣","東京オリンピック・パラリンピック担当大臣"
256021071,"牧島 かれん","規制改革担当大臣","国土強靱化担当大臣"
256021072,"牧島 かれん","規制改革担当大臣","クールジャパン戦略担当大臣"
256021076,"牧島 かれん","規制改革担当大臣","知的財産戦略担当大臣"
256021079,"牧島 かれん","規制改革担当大臣","マイナンバー制度担当大臣"
256021082,"牧島 かれん","規制改革担当大臣","こども政策担当大臣"
256021083,"牧島 かれん","規制改革担当大臣","孤独・孤立対策担当大臣"
256021086,"牧島 かれん","規制改革担当大臣","経済安全保障担当大臣"
256029003,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","総務大臣"
256029004,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","法務大臣"
256029005,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","外務大臣"
256029007,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","文部科学大臣"
256029008,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","厚生労働大臣"
256029011,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","国土交通大臣"
256029012,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","環境大臣"
256029013,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","防衛大臣（防衛庁長官）"
256029014,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","国家公安委員会委員長"
256029015,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","防災担当大臣"
256029017,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","沖縄及び北方対策担当大臣"
256029019,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","経済財政政策担当大臣"
256029020,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","科学技術政策担当大臣"
256029022,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","男女共同参画担当大臣"
256029024,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","消費者及び食品安全担当大臣（食品安全担当大臣）"
256029028,"牧島 かれん","デジタル大臣（情報通信技術（IT）政策担当大臣）","少子化対策担当大臣"
