"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
240020003,"竹本 直一","科学技術政策担当大臣","総務大臣"
240020004,"竹本 直一","科学技術政策担当大臣","法務大臣"
240020005,"竹本 直一","科学技術政策担当大臣","外務大臣"
240020007,"竹本 直一","科学技術政策担当大臣","文部科学大臣"
240020008,"竹本 直一","科学技術政策担当大臣","厚生労働大臣"
240020011,"竹本 直一","科学技術政策担当大臣","国土交通大臣"
240020012,"竹本 直一","科学技術政策担当大臣","環境大臣"
240020013,"竹本 直一","科学技術政策担当大臣","防衛大臣（防衛庁長官）"
240020014,"竹本 直一","科学技術政策担当大臣","国家公安委員会委員長"
240020015,"竹本 直一","科学技術政策担当大臣","防災担当大臣"
240020016,"竹本 直一","科学技術政策担当大臣","行政改革担当大臣
（行政刷新担当大臣）"
240020017,"竹本 直一","科学技術政策担当大臣","沖縄及び北方対策担当大臣"
240020019,"竹本 直一","科学技術政策担当大臣","経済財政政策担当大臣"
240020021,"竹本 直一","科学技術政策担当大臣","規制改革担当大臣"
240020022,"竹本 直一","科学技術政策担当大臣","男女共同参画担当大臣"
240020024,"竹本 直一","科学技術政策担当大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
240020028,"竹本 直一","科学技術政策担当大臣","少子化対策担当大臣"
240020039,"竹本 直一","科学技術政策担当大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
240020040,"竹本 直一","科学技術政策担当大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
240020043,"竹本 直一","科学技術政策担当大臣","海洋政策担当大臣"
240020044,"竹本 直一","科学技術政策担当大臣","拉致問題担当大臣"
240020045,"竹本 直一","科学技術政策担当大臣","再チャレンジ担当大臣"
240020061,"竹本 直一","科学技術政策担当大臣","原子力防災担当大臣"
240020062,"竹本 直一","科学技術政策担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
240020066,"竹本 直一","科学技術政策担当大臣","東京オリンピック・パラリンピック担当大臣"
240020071,"竹本 直一","科学技術政策担当大臣","国土強靱化担当大臣"
240020079,"竹本 直一","科学技術政策担当大臣","マイナンバー制度担当大臣"
240020082,"竹本 直一","科学技術政策担当大臣","こども政策担当大臣"
240020083,"竹本 直一","科学技術政策担当大臣","孤独・孤立対策担当大臣"
240020086,"竹本 直一","科学技術政策担当大臣","経済安全保障担当大臣"
240029003,"竹本 直一","デジタル大臣
（情報通信技術（IT）政策担当大臣）","総務大臣"
240029004,"竹本 直一","デジタル大臣
（情報通信技術（IT）政策担当大臣）","法務大臣"
240029005,"竹本 直一","デジタル大臣
（情報通信技術（IT）政策担当大臣）","外務大臣"
