"allid","name","mn_pos_jp_fin","mn0_pos_jp_fin"
125005003,"枝野 幸男","外務大臣","総務大臣"
125005004,"枝野 幸男","外務大臣","法務大臣"
125005007,"枝野 幸男","外務大臣","文部科学大臣"
125005008,"枝野 幸男","外務大臣","厚生労働大臣"
125005011,"枝野 幸男","外務大臣","国土交通大臣"
125005012,"枝野 幸男","外務大臣","環境大臣"
125005013,"枝野 幸男","外務大臣","防衛大臣（防衛庁長官）"
125005014,"枝野 幸男","外務大臣","国家公安委員会委員長"
125005015,"枝野 幸男","外務大臣","防災担当大臣"
125005019,"枝野 幸男","外務大臣","経済財政政策担当大臣"
125005020,"枝野 幸男","外務大臣","科学技術政策担当大臣"
125005021,"枝野 幸男","外務大臣","規制改革担当大臣"
125005022,"枝野 幸男","外務大臣","男女共同参画担当大臣"
125005024,"枝野 幸男","外務大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
125005028,"枝野 幸男","外務大臣","少子化対策担当大臣"
125005029,"枝野 幸男","外務大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
125005039,"枝野 幸男","外務大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
125005040,"枝野 幸男","外務大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
125005043,"枝野 幸男","外務大臣","海洋政策担当大臣"
125005044,"枝野 幸男","外務大臣","拉致問題担当大臣"
125005045,"枝野 幸男","外務大臣","再チャレンジ担当大臣"
125005048,"枝野 幸男","外務大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
125005061,"枝野 幸男","外務大臣","原子力防災担当大臣"
125005062,"枝野 幸男","外務大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
125005066,"枝野 幸男","外務大臣","東京オリンピック・パラリンピック担当大臣"
125005071,"枝野 幸男","外務大臣","国土強靱化担当大臣"
125005072,"枝野 幸男","外務大臣","クールジャパン戦略担当大臣"
125005076,"枝野 幸男","外務大臣","知的財産戦略担当大臣"
125005079,"枝野 幸男","外務大臣","マイナンバー制度担当大臣"
125005082,"枝野 幸男","外務大臣","こども政策担当大臣"
125005083,"枝野 幸男","外務大臣","孤独・孤立対策担当大臣"
125005086,"枝野 幸男","外務大臣","経済安全保障担当大臣"
125016003,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","総務大臣"
125016004,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","法務大臣"
125016007,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","文部科学大臣"
125016008,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","厚生労働大臣"
125016011,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","国土交通大臣"
125016012,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","環境大臣"
125016013,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","防衛大臣（防衛庁長官）"
125016014,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","国家公安委員会委員長"
125016015,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","防災担当大臣"
125016019,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","経済財政政策担当大臣"
125016020,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","科学技術政策担当大臣"
125016021,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","規制改革担当大臣"
125016022,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","男女共同参画担当大臣"
125016024,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","消費者及び食品安全担当大臣
（食品安全担当大臣）"
125016028,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","少子化対策担当大臣"
125016029,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
125016039,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
125016040,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
125016043,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","海洋政策担当大臣"
125016044,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","拉致問題担当大臣"
125016045,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","再チャレンジ担当大臣"
125016048,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","宇宙政策担当大臣
（宇宙開発担当大臣）"
125016061,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","原子力防災担当大臣"
125016062,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
125016066,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","東京オリンピック・パラリンピック担当大臣"
125016071,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","国土強靱化担当大臣"
125016072,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","クールジャパン戦略担当大臣"
125016076,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","知的財産戦略担当大臣"
125016079,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","マイナンバー制度担当大臣"
125016082,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","こども政策担当大臣"
125016083,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","孤独・孤立対策担当大臣"
125016086,"枝野 幸男","行政改革担当大臣
（行政刷新担当大臣）","経済安全保障担当大臣"
125017003,"枝野 幸男","沖縄及び北方対策担当大臣","総務大臣"
125017004,"枝野 幸男","沖縄及び北方対策担当大臣","法務大臣"
125017007,"枝野 幸男","沖縄及び北方対策担当大臣","文部科学大臣"
125017008,"枝野 幸男","沖縄及び北方対策担当大臣","厚生労働大臣"
125017011,"枝野 幸男","沖縄及び北方対策担当大臣","国土交通大臣"
125017012,"枝野 幸男","沖縄及び北方対策担当大臣","環境大臣"
125017013,"枝野 幸男","沖縄及び北方対策担当大臣","防衛大臣（防衛庁長官）"
125017014,"枝野 幸男","沖縄及び北方対策担当大臣","国家公安委員会委員長"
125017015,"枝野 幸男","沖縄及び北方対策担当大臣","防災担当大臣"
125017019,"枝野 幸男","沖縄及び北方対策担当大臣","経済財政政策担当大臣"
125017020,"枝野 幸男","沖縄及び北方対策担当大臣","科学技術政策担当大臣"
125017021,"枝野 幸男","沖縄及び北方対策担当大臣","規制改革担当大臣"
125017022,"枝野 幸男","沖縄及び北方対策担当大臣","男女共同参画担当大臣"
125017024,"枝野 幸男","沖縄及び北方対策担当大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
125017028,"枝野 幸男","沖縄及び北方対策担当大臣","少子化対策担当大臣"
125017029,"枝野 幸男","沖縄及び北方対策担当大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
125017039,"枝野 幸男","沖縄及び北方対策担当大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
125017040,"枝野 幸男","沖縄及び北方対策担当大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
125017043,"枝野 幸男","沖縄及び北方対策担当大臣","海洋政策担当大臣"
125017044,"枝野 幸男","沖縄及び北方対策担当大臣","拉致問題担当大臣"
125017045,"枝野 幸男","沖縄及び北方対策担当大臣","再チャレンジ担当大臣"
125017048,"枝野 幸男","沖縄及び北方対策担当大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
125017061,"枝野 幸男","沖縄及び北方対策担当大臣","原子力防災担当大臣"
125017062,"枝野 幸男","沖縄及び北方対策担当大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
125017066,"枝野 幸男","沖縄及び北方対策担当大臣","東京オリンピック・パラリンピック担当大臣"
125017071,"枝野 幸男","沖縄及び北方対策担当大臣","国土強靱化担当大臣"
125017072,"枝野 幸男","沖縄及び北方対策担当大臣","クールジャパン戦略担当大臣"
