"allid","fem","name","mn_pos_jp_fin","mn0_pos_jp_fin"
11011003,1,"扇 千景","国土交通大臣","総務大臣"
11011004,1,"扇 千景","国土交通大臣","法務大臣"
11011005,1,"扇 千景","国土交通大臣","外務大臣"
11011007,1,"扇 千景","国土交通大臣","文部科学大臣"
11011008,1,"扇 千景","国土交通大臣","厚生労働大臣"
11011012,1,"扇 千景","国土交通大臣","環境大臣"
11011013,1,"扇 千景","国土交通大臣","防衛大臣（防衛庁長官）"
11011014,1,"扇 千景","国土交通大臣","国家公安委員会委員長"
11011015,1,"扇 千景","国土交通大臣","防災担当大臣"
11011016,1,"扇 千景","国土交通大臣","行政改革担当大臣
（行政刷新担当大臣）"
11011017,1,"扇 千景","国土交通大臣","沖縄及び北方対策担当大臣"
11011019,1,"扇 千景","国土交通大臣","経済財政政策担当大臣"
11011020,1,"扇 千景","国土交通大臣","科学技術政策担当大臣"
11011021,1,"扇 千景","国土交通大臣","規制改革担当大臣"
11011022,1,"扇 千景","国土交通大臣","男女共同参画担当大臣"
11011024,1,"扇 千景","国土交通大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
11011028,1,"扇 千景","国土交通大臣","少子化対策担当大臣"
11011029,1,"扇 千景","国土交通大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
11011039,1,"扇 千景","国土交通大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
11011040,1,"扇 千景","国土交通大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
11011043,1,"扇 千景","国土交通大臣","海洋政策担当大臣"
11011044,1,"扇 千景","国土交通大臣","拉致問題担当大臣"
11011045,1,"扇 千景","国土交通大臣","再チャレンジ担当大臣"
11011048,1,"扇 千景","国土交通大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
11011061,1,"扇 千景","国土交通大臣","原子力防災担当大臣"
11011062,1,"扇 千景","国土交通大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
11011066,1,"扇 千景","国土交通大臣","東京オリンピック・パラリンピック担当大臣"
11011071,1,"扇 千景","国土交通大臣","国土強靱化担当大臣"
11011072,1,"扇 千景","国土交通大臣","クールジャパン戦略担当大臣"
11011076,1,"扇 千景","国土交通大臣","知的財産戦略担当大臣"
11011079,1,"扇 千景","国土交通大臣","マイナンバー制度担当大臣"
11011082,1,"扇 千景","国土交通大臣","こども政策担当大臣"
11011083,1,"扇 千景","国土交通大臣","孤独・孤立対策担当大臣"
11011086,1,"扇 千景","国土交通大臣","経済安全保障担当大臣"
12005003,1,"川口 順子","外務大臣","総務大臣"
12005004,1,"川口 順子","外務大臣","法務大臣"
12005007,1,"川口 順子","外務大臣","文部科学大臣"
12005008,1,"川口 順子","外務大臣","厚生労働大臣"
12005011,1,"川口 順子","外務大臣","国土交通大臣"
12005013,1,"川口 順子","外務大臣","防衛大臣（防衛庁長官）"
12005014,1,"川口 順子","外務大臣","国家公安委員会委員長"
12005015,1,"川口 順子","外務大臣","防災担当大臣"
12005016,1,"川口 順子","外務大臣","行政改革担当大臣
（行政刷新担当大臣）"
12005017,1,"川口 順子","外務大臣","沖縄及び北方対策担当大臣"
12005019,1,"川口 順子","外務大臣","経済財政政策担当大臣"
12005020,1,"川口 順子","外務大臣","科学技術政策担当大臣"
12005021,1,"川口 順子","外務大臣","規制改革担当大臣"
12005022,1,"川口 順子","外務大臣","男女共同参画担当大臣"
12005024,1,"川口 順子","外務大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
12005028,1,"川口 順子","外務大臣","少子化対策担当大臣"
12005029,1,"川口 順子","外務大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
12005039,1,"川口 順子","外務大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
12005040,1,"川口 順子","外務大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
12005043,1,"川口 順子","外務大臣","海洋政策担当大臣"
12005044,1,"川口 順子","外務大臣","拉致問題担当大臣"
12005045,1,"川口 順子","外務大臣","再チャレンジ担当大臣"
12005048,1,"川口 順子","外務大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
12005061,1,"川口 順子","外務大臣","原子力防災担当大臣"
12005062,1,"川口 順子","外務大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
12005066,1,"川口 順子","外務大臣","東京オリンピック・パラリンピック担当大臣"
12005071,1,"川口 順子","外務大臣","国土強靱化担当大臣"
12005072,1,"川口 順子","外務大臣","クールジャパン戦略担当大臣"
12005076,1,"川口 順子","外務大臣","知的財産戦略担当大臣"
12005079,1,"川口 順子","外務大臣","マイナンバー制度担当大臣"
12005082,1,"川口 順子","外務大臣","こども政策担当大臣"
12005083,1,"川口 順子","外務大臣","孤独・孤立対策担当大臣"
12005086,1,"川口 順子","外務大臣","経済安全保障担当大臣"
12012003,1,"川口 順子","環境大臣","総務大臣"
12012004,1,"川口 順子","環境大臣","法務大臣"
12012007,1,"川口 順子","環境大臣","文部科学大臣"
12012008,1,"川口 順子","環境大臣","厚生労働大臣"
12012011,1,"川口 順子","環境大臣","国土交通大臣"
12012013,1,"川口 順子","環境大臣","防衛大臣（防衛庁長官）"
12012014,1,"川口 順子","環境大臣","国家公安委員会委員長"
12012015,1,"川口 順子","環境大臣","防災担当大臣"
12012016,1,"川口 順子","環境大臣","行政改革担当大臣
（行政刷新担当大臣）"
12012017,1,"川口 順子","環境大臣","沖縄及び北方対策担当大臣"
12012019,1,"川口 順子","環境大臣","経済財政政策担当大臣"
12012020,1,"川口 順子","環境大臣","科学技術政策担当大臣"
12012021,1,"川口 順子","環境大臣","規制改革担当大臣"
12012022,1,"川口 順子","環境大臣","男女共同参画担当大臣"
12012024,1,"川口 順子","環境大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
12012028,1,"川口 順子","環境大臣","少子化対策担当大臣"
12012029,1,"川口 順子","環境大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
12012039,1,"川口 順子","環境大臣","国家公務員制度担当大臣
（公務員制度改革担当大臣）"
12012040,1,"川口 順子","環境大臣","地方創生担当大臣
（地方分権改革／地域主権推進担当大臣）"
12012043,1,"川口 順子","環境大臣","海洋政策担当大臣"
12012044,1,"川口 順子","環境大臣","拉致問題担当大臣"
12012045,1,"川口 順子","環境大臣","再チャレンジ担当大臣"
12012048,1,"川口 順子","環境大臣","宇宙政策担当大臣
（宇宙開発担当大臣）"
12012061,1,"川口 順子","環境大臣","原子力防災担当大臣"
12012062,1,"川口 順子","環境大臣","女性活躍担当大臣
（女性活力・子育て支援担当大臣）"
12012066,1,"川口 順子","環境大臣","東京オリンピック・パラリンピック担当大臣"
12012071,1,"川口 順子","環境大臣","国土強靱化担当大臣"
12012072,1,"川口 順子","環境大臣","クールジャパン戦略担当大臣"
12012076,1,"川口 順子","環境大臣","知的財産戦略担当大臣"
12012079,1,"川口 順子","環境大臣","マイナンバー制度担当大臣"
12012082,1,"川口 順子","環境大臣","こども政策担当大臣"
12012083,1,"川口 順子","環境大臣","孤独・孤立対策担当大臣"
12012086,1,"川口 順子","環境大臣","経済安全保障担当大臣"
22005003,1,"田中 眞紀子","外務大臣","総務大臣"
22005004,1,"田中 眞紀子","外務大臣","法務大臣"
22005008,1,"田中 眞紀子","外務大臣","厚生労働大臣"
22005011,1,"田中 眞紀子","外務大臣","国土交通大臣"
22005012,1,"田中 眞紀子","外務大臣","環境大臣"
22005013,1,"田中 眞紀子","外務大臣","防衛大臣（防衛庁長官）"
22005014,1,"田中 眞紀子","外務大臣","国家公安委員会委員長"
22005015,1,"田中 眞紀子","外務大臣","防災担当大臣"
22005016,1,"田中 眞紀子","外務大臣","行政改革担当大臣
（行政刷新担当大臣）"
22005017,1,"田中 眞紀子","外務大臣","沖縄及び北方対策担当大臣"
22005019,1,"田中 眞紀子","外務大臣","経済財政政策担当大臣"
22005020,1,"田中 眞紀子","外務大臣","科学技術政策担当大臣"
22005021,1,"田中 眞紀子","外務大臣","規制改革担当大臣"
22005022,1,"田中 眞紀子","外務大臣","男女共同参画担当大臣"
22005024,1,"田中 眞紀子","外務大臣","消費者及び食品安全担当大臣
（食品安全担当大臣）"
22005028,1,"田中 眞紀子","外務大臣","少子化対策担当大臣"
22005029,1,"田中 眞紀子","外務大臣","デジタル大臣
（情報通信技術（IT）政策担当大臣）"
